index,sum_text_length,count_text_length_flag,max_time_diff,earliest_time_diff,labels
average_scr_rise_time,0.0004842436937990604,-0.00016961572094039014,0.0011914884959539885,0.00018107059920941882,0.0014270531080124481
auc_feat,0.00040704223115114617,0.000958890864209048,-0.000258069530468854,0.0007633085562371826,0.0012462520105834
mean_feat,0.00034808661035129045,0.0008744848654399604,-0.00028763895350720884,0.0007440281491497858,0.0011922275196921026
number_of_scr_recoveries,0.0010426955869969757,0.0011942086369295215,0.001051830179314638,-0.0012293793550114597,0.0011508678369679126
hrv_features_3,0.0008599297211744568,0.0005149128601791281,-0.00013346352663465218,-0.0002376922426426101,0.0011006663727462784
hr_mean_feat,-0.00015671798618154236,-0.000941786630297971,-0.0010606944856787189,-0.000699868514484508,0.001006887988551639
number_of_scr_onsets,0.0015273434788728479,8.23921743335426e-05,-0.0002616317723926598,-0.000941786855391624,0.0008172664465879227
average_scr_amplitude,0.0013274821557293457,6.255272322300593e-05,0.0008122372110018582,-0.00016945937624259131,0.0008065391714001449
tonic_number_of_peaks_feat,-0.00036983446037442433,0.0003236099524517956,9.312069280889939e-05,0.0006533826814510413,0.0004315642517974584
tonic_peaks_amplitude_feat,-0.00018149766553316802,0.0012756492970332118,-0.0019769592734929183,-0.0008297589418568908,0.00035217909071823847
slope_feat,0.0008566261475545082,0.0008914576112708318,-0.001821428019117436,-0.00048535548433504937,0.0002920062128248885
hrv_features_0,0.0015010612658406728,0.0014639280513056257,0.0014467549031203888,0.0008968549699326655,0.00021134813720347898
average_scr_recovery_time,-0.00038288486245576664,0.0011283798605692308,0.0011906320884043818,0.0008782686871807674,-0.0002382557080596375
ratio_peaks_segment_length_feat,-0.0009099198501716933,-0.001661111479073754,-0.0007668148016055554,0.0004622695181872809,-0.00026964061532883365
num_ppg_peaks_feat,-0.0008644892115783623,-0.0016205940065943318,-0.0008434721696010756,0.0004660744359649726,-0.0003492715399712776
mixed_peaks_amplitude_feat,-0.0008214194433647809,-0.001628868917493096,0.001235250088332088,0.00042159340434262535,-0.0005048463726587871
phasic_peaks_amplitude_feat,-0.00012814304140255372,-0.0007555476133796792,0.0008977721692555731,-0.0004459618683075133,-0.0005322447701610547
first_derivetive_mean_feat,-0.002498389837060931,-0.002023696948972437,-0.000964339588625386,-0.0007168273228898447,-0.0016123672464729822
phasic_min_feat,-0.00028144242029542885,0.00034978656588327507,-0.0010840281561916136,0.0016825040272405965,-0.0035908723014898974
mixed_number_of_peaks_feat,-0.004249394196488043,-0.000982585639827802,-0.0008296311602544836,0.0020969765532815967,-0.006387683858874089
min_feat,-0.002704532748994218,-0.0015115368248817462,-0.0010631140634628593,0.0011712545056096664,-0.006721246156348871
phasic_number_of_peaks_feat,-0.0045307866488663116,-0.0015785918485122985,-0.0004946489458328646,0.0022639478057414086,-0.009511563644258633
phasic_slope_feat,-0.004406735784195314,-0.0005895034477690316,0.0026277123422289777,-0.00022092213951590588,-0.013376141046262256
mixed_information_entropy,-0.009854050450387739,0.0007476046576553898,-0.0014308197932990387,0.0011681058119711537,-0.020689357911569884
tonic_information_entropy,-0.022276441168550255,0.0031809241967201466,-0.0006056434512702426,0.0012025707159057288,-0.05202878890397499
