number_of_scr_onsets,number_of_scr_peaks,number_of_scr_recoveries,mean_scr_height,mean_scr_amplitude,mean_scr_rise_time,mean_scr_recovery_time,mixed_min_feat,mixed_max_feat,mixed_mean_feat,mixed_std_feat,mixed_dynamic_range_feat,mixed_slope_feat,mixed_absolute_slope_feat,mixed_first_derivetive_mean_feat,mixed_first_derivative_std_feat,mixed_dc_term,mixed_sum_of_all_coefficients,mixed_information_entropy,mixed_spectral_energy,tonic_min_feat,tonic_max_feat,tonic_mean_feat,tonic_std_feat,tonic_dynamic_range_feat,tonic_slope_feat,tonic_absolute_slope_feat,tonic_first_derivetive_mean_feat,tonic_first_derivative_std_feat,tonic_dc_term,tonic_sum_of_all_coefficients,tonic_information_entropy,tonic_spectral_energy,phasic_min_feat,phasic_max_feat,phasic_mean_feat,phasic_std_feat,phasic_dynamic_range_feat,phasic_slope_feat,phasic_absolute_slope_feat,phasic_first_derivetive_mean_feat,phasic_first_derivative_std_feat,phasic_dc_term,phasic_sum_of_all_coefficients,phasic_information_entropy,phasic_spectral_energy
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.4587697097576005,-1.8531930631649076,-1.8512302698429215,-0.2593279688128436,-0.2260735828697629,-0.0262890189231586,-0.2791493631555543,0.1092431972224119,-0.1765197531800048,-1.790345059892552,-1.790345059892552,0.1552028084609607,-1.8512302698429215,-1.8100148325256544,-1.8279878529551976,-1.821603243518825,-0.03974409822604,-0.041066506172868,0.3735000880715199,-0.0307835729499786,0.3717666480100764,-0.2078560241570748,-1.8377507678898457,-1.8377507678898457,0.1137317352383879,-1.821603243518825,0.0653150040132408,-0.3668426983090752,-0.4620500890966338,-0.2443159573751325,-0.2142821261379405,-0.1259557027406298,-0.1767930732787681,0.0298244167729431,-0.1767944819324034,-0.2445261638220227,-0.2445261638220227,-0.553396914940707,0.0680391504113947
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.3289781421391191,-1.7056630510733009,-1.7337722733345071,-0.2197968991763008,-0.2260587662883983,0.1275922345267496,-0.1709801279154739,0.0923006937135402,-0.2002758866482111,-1.7067943427837735,-1.7067943427837735,0.1525010709764033,-1.7337722733345071,-1.7668516357621344,-1.8028922662935631,-1.7817389434526465,-0.2221409523096704,-0.2312453386507816,0.1909458165018991,-0.2309887051556684,0.1801651996915131,0.2832712895565986,-1.7944417002971615,-1.7944417002971615,0.1436052873739579,-1.7817389434526465,0.2844234929501965,-0.0819285057454408,0.3112854708840314,-0.2284387451237527,-0.2329782474141136,0.091639800034294,-0.2151539516559782,0.0567581782597422,-0.2003766504393941,-0.1954690808687197,-0.1954690808687197,-0.0294723129783318,-0.096947873208801
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.3289781421391191,-1.7548397217705027,-1.7510159744529514,-0.2866066537203913,-0.2830137050551415,-0.1364691620012598,-0.1639418738860719,-0.0435042679541286,-0.2832812188950911,-1.6733662303969807,-1.6733662303969807,0.1569339656885838,-1.7510159744529514,-1.8248251101225528,-1.8060002132902957,-1.808222020402982,0.3421654364912936,0.3404234482269063,-0.729609293321542,0.3398299309144206,-0.7412642125502611,0.7533094531665243,-1.7755741662891935,-1.7755741662891935,-0.000271188323654,-1.808222020402982,0.3533267350536492,-0.1826000636674586,0.4004892904322762,-0.3128118403338171,-0.3267573129845276,0.038224268909091,-0.2710752175805262,0.1278900449610276,-0.2806459898064455,-0.1349021516110279,-0.1349021516110279,0.9423552771347672,0.0003775755386373
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.40108331794035,-1.7220510102728626,-1.8092058967991924,-0.1745480466624751,-0.1501237867931942,0.0519156623864845,-0.250109702712093,0.5336005857342919,-0.1649922251035481,-1.8070656373720175,-1.8070656373720175,0.1476713507655037,-1.8092058967991924,-2.004383556400587,-1.89228822414888,-1.9456893409735931,1.309795898833233,1.3187255127746775,-1.627513299108602,1.324550741010938,-1.6317104818626011,0.1635855229930779,-1.8614892824447415,-1.8614892824447415,-0.6693211374749574,-1.9456893409735931,0.3295990715855372,0.4930647219477743,1.174171208087157,-0.0679412820572311,0.0016622554873102,0.479513464052987,0.1909149547801863,0.958017690902252,-0.1643280301160889,-0.2686869574996042,-0.2686869574996042,0.0548378653225649,0.8444999483795833
4.964797783182251,2.2083334733695814,-0.2111386604609304,0.3016991786374513,3.0127021063982986,1.3152888554139668,-0.0410150149322925,-3.0885200234378973,-1.7056630510733009,-2.165884924659653,2.3296937106203295,2.0900988658382733,1.9129196965394843,1.6958090109999262,0.2280924087013746,1.7980203082343569,-1.723501877691102,-1.723501877691102,-1.878191356229679,-2.165884924659653,-2.145436383920597,-2.0766123446350857,-2.1208184977447324,0.8612575735704262,0.8827922864906154,-1.209718955272865,0.8663605758439541,-1.2396071840989338,0.7650857218783371,-2.0450168439711645,-2.0450168439711645,-0.3511876642874923,-2.1208184977447324,-2.596382215338068,0.8278383701566749,-0.6427901084699481,2.4454868879408123,2.1636941328299537,2.4301466389715736,2.2330527787060737,0.5372444476689336,1.795394114921797,0.6924993749714317,0.6924993749714317,-0.6858319099508984,0.2652347815089496
2.3625067234664905,4.64080335696364,4.736224042612235,0.941906269978268,0.9200274926963732,3.616734318243723,-0.0105711845541834,-2.756797944755714,-1.6892622987752224,-2.3361429254267105,2.050463602117591,1.672434253742607,-0.6284069158712724,0.3504422239822586,-0.8582280645214627,2.172763873514619,-1.5898024707160645,-1.5898024707160645,-1.772004464220012,-2.3361429254267105,-2.1719541900529946,-2.2094652761049747,-2.1951071715399104,-0.2047662141202805,-0.2140603990288057,0.0059877775044608,-0.4338300209550922,0.014692123896995,1.538400845795198,-2.1795981565312843,-2.1795981565312843,0.1375497550515446,-2.1951071715399104,-1.805162634757701,0.9243813782803316,-1.6015700445110062,2.0929627614231867,1.665477202873339,-0.6968180731588406,0.4208485816857408,-0.9259621917003856,2.168846708988977,1.7345562647427617,1.7345562647427617,-0.4520386207629059,1.3113075617755918
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.530886141440161,-2.0334989936556385,-2.0182521331780747,-0.3150254964994462,-0.3399686438218856,0.078832936883811,-0.2219642354238879,0.0074424626909998,-0.3039400995087873,-1.9741801141617144,-1.9741801141617144,0.1579530984782153,-2.0182521331780747,-2.142195801919704,-2.0638302220628306,-2.109538743408261,0.9726815897466994,0.9811449701728764,1.2992831047298976,0.984511821949543,1.3060788238540202,0.3082786462315302,-2.1710543490705754,-2.1710543490705754,-0.4365160506108199,-2.109538743408261,0.3525571195881566,-0.0456092880079069,0.7107485852996509,-0.249763977318747,-0.2629428156993704,-0.2497439752976054,-0.047197864503752,-0.2997416564954183,-0.3037314046533856,0.1794731937808877,0.1794731937808877,0.8604737557465836,0.338884662499189
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.5020373175908703,-1.935145652261234,-1.9600638928159455,-0.2391444653884882,-0.2640336643266831,0.2318622989261767,-0.0619523848954815,0.2620039090787857,-0.3008707333120161,-1.957459536682249,-1.957459536682249,0.1533511143457162,-1.9600638928159455,-1.992788966865724,-1.8724603255371437,-1.935085234632455,1.381579916458554,1.4028898558369798,1.6764537640293782,1.3981504679253602,1.693100625469697,-0.2653278596181114,-2.021142590828648,-2.021142590828648,-0.7332361563124022,-1.935085234632455,0.1813791665165487,-0.3318447510493519,-0.4264083889088009,-0.2699853715841895,-0.2777399145694872,-0.1782506077597126,-0.122045002287646,-0.1173072114812169,-0.3008071283379686,-0.2808981840499024,-0.2808981840499024,0.5056535741439802,0.0291524246807053
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.40108331794035,-1.6236976688784583,-1.67665966181214,-0.052262764174134,-0.036213909259707,0.4732140294420331,0.1904118445089633,0.6184323233971624,-0.1886093284228632,-1.8404807071866756,-1.8404807071866756,0.1320967823192022,-1.67665966181214,-1.802060032831587,-1.715986942922212,-1.7537194804685097,1.024444750017474,1.0336130769610632,1.3450649211601402,1.0347202039951957,1.3545897359835264,0.4996575022306052,-1.829769084801725,-1.829769084801725,-0.367889386246691,-1.7537194804685097,0.2232714553457855,0.1236129879684458,0.6024472077940771,-0.1534043187624953,-0.0960694763798781,0.1747197024886482,-0.1281767519489185,0.3455720198936021,-0.1928032411098012,-0.0155420574523238,-0.0155420574523238,0.4536431109475662,0.2207229041902299
-0.2397843362492698,-0.2241364102244767,-0.2111386604609304,-0.1602222610831467,-0.1800987731292918,-0.2190081198058708,-0.0410150149322925,-1.199175318639308,-1.6564863803760983,-1.6141613371624564,-0.3236297045428427,-0.3399686438218856,-0.0582526670973667,-0.2457272641169527,-0.1283757456565051,-0.3061121808335361,-1.5563874009014067,-1.5563874009014067,0.1584609894603611,-1.6141613371624564,-1.6524863600679978,-1.6658754030956826,-1.6533905186056954,-0.0026417823122065,-0.0062832678378464,0.3933477813830902,-0.0090168400805948,0.4072438400607408,0.5321109422139112,-1.6796899250190342,-1.6796899250190342,0.1100013075742643,-1.6533905186056954,0.3026956517069459,-0.1804178761917127,0.2364544641880843,-0.2858991274125977,-0.2910136544057994,-0.1664670797815622,-0.1343812982621438,-0.2339477123135128,-0.3078802914613113,-0.0366511057519202,-0.0366511057519202,0.0981538324443705,-0.1785919254902925
