,participant,snapshot,NeuralNet.py_compiles,NeuralNetUtil.py_compiles,NeuralNet.py_length,NeuralNetUtil.py_length,q2_points,q1_points,q3_points,q4_points,total_points,total_points_max
63,P19,15,0,1,13672,5474,0,0,0,0,0,0
64,P19,16,0,1,13664,5474,0,0,0,0,0,0
65,P19,17,0,1,13674,5474,0,0,0,0,0,0
66,P19,18,0,1,13695,5474,0,0,0,0,0,0
67,P19,19,0,1,13609,5474,0,0,0,0,0,0
68,P19,20,0,1,13619,5474,0,0,0,0,0,0
69,P19,21,0,1,13647,5474,0,0,0,0,0,0
70,P20,0,1,1,12685,5474,0,0,0,0,0,0
71,P20,1,0,1,12814,5474,0,0,0,0,0,0
72,P20,2,0,1,13022,5474,0,0,0,0,0,0
73,P20,3,0,1,13053,5474,0,0,0,0,0,0
74,P20,4,0,1,13143,5474,0,0,0,0,0,0
75,P20,5,0,1,13143,5474,0,0,0,0,0,0
76,P20,6,0,1,13143,5474,0,0,0,0,0,0
77,P20,7,0,1,13270,5474,0,0,0,0,0,0
78,P20,9,0,1,13325,5474,0,0,0,0,0,0
79,P20,10,0,1,13460,5474,0,0,0,0,0,0
80,P20,11,0,1,13707,5474,0,0,0,0,0,0
81,P20,12,0,1,13824,5474,0,0,0,0,0,0
82,P20,14,0,1,13900,5474,0,0,0,0,0,0
83,P20,18,0,1,13941,5474,0,0,0,0,0,0
84,P20,19,0,1,13954,5474,0,0,0,0,0,0
85,P29,0,1,1,12685,5474,0,0,0,0,0,0
86,P29,1,1,1,12685,5474,0,0,0,0,0,0
87,P29,83,0,1,12686,5474,0,0,0,0,0,0
88,P29,84,0,1,12799,5474,0,0,0,0,0,0
89,P29,85,0,1,12902,5474,0,0,0,0,0,0
90,P29,86,0,1,13261,5474,0,0,0,0,0,0
91,P29,87,0,1,13292,5474,0,0,0,0,0,0
92,P29,88,0,1,13304,5474,0,0,0,0,0,0
93,P29,89,0,1,13374,5474,0,0,0,0,0,0
94,P29,90,0,1,13586,5474,0,0,0,0,0,0
95,P29,91,0,1,13691,5474,0,0,0,0,0,0
96,P29,92,0,1,13688,5474,0,0,0,0,0,0
97,P29,93,0,1,13792,5474,0,0,0,0,0,0
98,P29,94,0,1,13625,5474,0,0,0,0,0,0
99,P29,95,0,1,13688,5474,0,0,0,0,0,0
100,P29,96,0,1,13723,5474,0,0,0,0,0,0
101,P29,97,0,1,13659,5474,0,0,0,0,0,0
102,P29,98,0,1,13694,5474,0,0,0,0,0,0
103,P29,100,0,1,13693,5474,0,0,0,0,0,0
104,P29,101,0,1,13694,5474,0,0,0,0,0,0
105,P30,0,1,1,12685,5474,0,0,0,0,0,0
106,P30,1,1,1,12685,5474,0,0,0,0,0,0
107,P30,26,1,1,12685,5474,0,0,0,0,0,0
108,P30,27,0,1,12745,5474,0,0,0,0,0,0
109,P30,28,0,1,12899,5474,0,0,0,0,0,0
110,P30,29,0,1,12993,5474,0,0,0,0,0,0
111,P30,30,0,1,12937,5474,0,0,0,0,0,0
112,P30,31,0,1,13009,5474,0,0,0,0,0,0
113,P30,32,0,1,12986,5474,0,0,0,0,0,0
114,P30,33,0,1,13127,5474,0,0,0,0,0,0
115,P30,34,0,1,13141,5474,0,0,0,0,0,0
116,P30,35,0,1,13154,5474,0,0,0,0,0,0
117,P30,36,0,1,13529,5474,0,0,0,0,0,0
118,P30,37,0,1,13581,5474,0,0,0,0,0,0
119,P30,38,0,1,13515,5474,0,0,0,0,0,0
120,P30,39,0,1,13513,5474,0,0,0,0,0,0
121,P30,40,0,1,13670,5474,0,0,0,0,0,0
