,participant,snapshot,bustersAgents.py_compiles,inference.py_compiles,bustersAgents.py_length,inference.py_length,q4_points,q1_points,q6_points,q5_points,q2_points,q7_points,q3_points,total_points,total_points_max
62,P19,9,0,0,7895,20721,0,0,0,0,0,0,0,0,0
63,P19,10,0,0,7855,20721,0,0,0,0,0,0,0,0,0
64,P19,11,0,0,7855,20721,0,0,0,0,0,0,0,0,0
65,P19,12,0,0,7904,20721,0,0,0,0,0,0,0,0,0
66,P19,13,0,0,7994,20721,0,0,0,0,0,0,0,0,0
67,P19,14,0,0,8005,20730,0,0,0,0,0,0,0,0,0
68,P19,15,0,0,8005,21415,0,0,0,0,0,0,0,0,0
69,P19,16,0,0,8005,21767,0,0,0,0,0,0,0,0,0
70,P19,17,0,0,8005,21804,0,0,0,0,0,0,0,0,0
71,P19,18,0,0,8005,21617,0,0,0,0,0,0,0,0,0
72,P19,19,0,0,8005,21713,0,0,0,0,0,0,0,0,0
73,P19,20,0,0,8005,21735,0,0,0,0,0,0,0,0,0
74,P19,21,0,0,8005,22427,0,0,0,0,0,0,0,0,0
75,P19,22,0,0,8005,21816,0,0,0,0,0,0,0,0,0
76,P20,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
77,P20,1,1,1,6904,19913,0,0,0,0,0,0,0,0,0
78,P20,2495,1,1,6913,19913,0,0,0,0,0,0,0,0,0
79,P20,2496,1,1,6911,19913,0,0,0,0,0,0,0,0,0
80,P20,2929,1,1,6925,19913,0,0,0,0,0,0,0,0,0
81,P20,2930,1,1,6907,19913,0,0,0,0,0,0,0,0,0
82,P20,2933,1,0,6907,20037,0,0,0,0,0,0,0,0,0
83,P20,2934,1,0,6907,20131,0,0,0,0,0,0,0,0,0
84,P20,2935,1,0,6907,20133,0,0,0,0,0,0,0,0,0
85,P20,2936,1,0,6907,20230,0,0,0,0,0,0,0,0,0
86,P20,2937,1,0,6907,20392,0,0,0,0,0,0,0,0,0
87,P20,2938,1,0,6907,20422,0,0,0,0,0,0,0,0,0
88,P20,2939,1,0,6907,20594,0,0,0,0,0,0,0,0,0
89,P20,2940,1,0,6907,20634,0,0,0,0,0,0,0,0,0
90,P20,2941,1,0,6907,20714,0,0,0,0,0,0,0,0,0
91,P20,2942,1,0,6907,20911,0,0,0,0,0,0,0,0,0
92,P20,2943,1,0,6907,21075,0,0,0,0,0,0,0,0,0
93,P20,2944,1,0,6907,21430,0,0,0,0,0,0,0,0,0
94,P20,2945,1,0,6907,21542,0,0,0,0,0,0,0,0,0
95,P20,2946,1,0,6907,21723,0,0,0,0,0,0,0,0,0
96,P20,2947,1,0,6907,21743,0,0,0,0,0,0,0,0,0
97,P20,2948,1,0,6907,21906,0,0,0,0,0,0,0,0,0
98,P20,2949,1,0,6907,22025,0,0,0,0,0,0,0,0,0
99,P20,2950,1,0,6907,22318,0,0,0,0,0,0,0,0,0
100,P20,2951,1,0,6907,22451,0,0,0,0,0,0,0,0,0
101,P20,2952,1,0,6907,22443,0,0,0,0,0,0,0,0,0
102,P21,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
103,P21,1,1,1,6914,19913,0,0,0,0,0,0,0,0,0
104,P21,2,0,1,6931,19913,0,0,0,0,0,0,0,0,0
105,P21,2063,0,1,6925,19913,0,0,0,0,0,0,0,0,0
106,P21,2065,0,1,6925,19941,0,0,0,0,0,0,0,0,0
107,P21,2072,0,0,6925,20103,0,0,0,0,0,0,0,0,0
108,P21,2073,0,0,6925,20471,0,0,0,0,0,0,0,0,0
109,P21,2074,0,0,6925,20481,0,0,0,0,0,0,0,0,0
110,P21,2075,0,0,6925,20531,0,0,0,0,0,0,0,0,0
111,P21,2076,0,0,6925,20637,0,0,0,0,0,0,0,0,0
112,P21,2077,0,0,6925,20908,0,0,0,0,0,0,0,0,0
113,P21,2078,0,0,6925,20918,0,0,0,0,0,0,0,0,0
114,P21,2081,0,0,6925,20815,0,0,0,0,0,0,0,0,0
115,P21,2082,0,0,6925,20931,0,0,0,0,0,0,0,0,0
116,P24,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
117,P24,1,1,0,6891,19931,0,0,0,0,0,0,0,0,0
118,P24,2,1,0,6891,19938,0,0,0,0,0,0,0,0,0
119,P24,3513,1,1,6891,19913,0,0,0,0,0,0,0,0,0
120,P24,3515,1,0,6891,19931,0,0,0,0,0,0,0,0,0
121,P24,3517,1,0,6891,19939,0,0,0,0,0,0,0,0,0
122,P24,3518,1,0,6891,19977,0,0,0,0,0,0,0,0,0
123,P24,3519,1,0,6891,20076,0,0,0,0,0,0,0,0,0
124,P24,3520,1,0,6891,20156,0,0,0,0,0,0,0,0,0
125,P24,3521,1,0,6891,20156,0,0,0,0,0,0,0,0,0
126,P24,3522,1,0,6891,20202,0,0,0,0,0,0,0,0,0
127,P24,3523,1,0,6891,20278,0,0,0,0,0,0,0,0,0
128,P24,3524,1,0,6891,20331,0,0,0,0,0,0,0,0,0
129,P24,3526,1,0,6891,20536,0,0,0,0,0,0,0,0,0
130,P24,3527,1,0,6891,20556,0,0,0,0,0,0,0,0,0
131,P24,3528,1,0,6891,20870,0,0,0,0,0,0,0,0,0
132,P24,3529,1,0,6891,20947,0,0,0,0,0,0,0,0,0
133,P24,3530,1,0,6891,21193,0,0,0,0,0,0,0,0,0
134,P24,3531,1,0,6891,21267,0,0,0,0,0,0,0,0,0
135,P24,3532,1,0,6891,21565,0,0,0,0,0,0,0,0,0
136,P24,3533,1,0,6891,21783,0,0,0,0,0,0,0,0,0
137,P24,3534,1,0,6891,21938,0,0,0,0,0,0,0,0,0
138,P24,3535,1,0,6891,22046,0,0,0,0,0,0,0,0,0
139,P28,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
140,P28,1,1,1,6891,19913,0,0,0,0,0,0,0,0,0
141,P28,947,1,1,6891,19930,0,0,0,0,0,0,0,0,0
142,P28,948,1,1,6891,20010,0,0,0,0,0,0,0,0,0
143,P28,951,1,1,6891,20073,0,0,0,0,0,0,0,0,0
144,P28,954,1,1,6891,20041,0,0,0,0,0,0,0,0,0
145,P28,956,1,1,6891,20105,0,0,0,0,0,0,0,0,0
146,P28,957,1,1,6891,20100,0,0,0,0,0,0,0,0,0
147,P28,958,1,1,6891,20182,0,0,0,0,0,0,0,0,0
148,P28,959,1,1,6891,20194,0,0,0,0,0,0,0,0,0
149,P28,964,1,1,6891,20312,0,0,0,0,0,0,0,0,0
150,P28,965,1,1,6891,20342,0,0,0,0,0,0,0,0,0
151,P29,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0
152,P29,1,1,1,6891,19913,0,0,0,0,0,0,0,0,0
