,participant,snapshot,bustersAgents.py_compiles,inference.py_compiles,bustersAgents.py_length,inference.py_length,q1_points,q5_points,q6_points,q4_points,q2_points,q7_points,q3_points,total_points
389,P8,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
390,P8,2,1,1,6891,19913,0,0,0,0,0,0,0,0.0
391,P8,3,1,1,6891,19913,0,0,0,0,0,0,0,0.0
392,P8,4,1,1,6891,19913,0,0,0,0,0,0,0,0.0
393,P8,5,1,1,6891,19913,0,0,0,0,0,0,0,0.0
394,P8,6,1,1,6891,19913,0,0,0,0,0,0,0,0.0
395,P8,7,1,0,6891,19972,0,0,0,0,0,0,0,0.0
396,P8,8,1,0,6891,20136,0,0,0,0,0,0,0,0.0
397,P8,9,1,0,6891,20196,0,0,0,0,0,0,0,0.0
398,P8,10,1,0,6891,20274,0,0,0,0,0,0,0,0.0
399,P8,11,1,0,6891,20325,0,0,0,0,0,0,0,0.0
400,P8,12,1,0,6891,20464,0,0,0,0,0,0,0,0.0
401,P8,13,1,0,6891,20536,0,0,0,0,0,0,0,0.0
402,P8,14,1,0,6891,20517,0,0,0,0,0,0,0,0.0
403,P8,15,1,0,6891,20529,0,0,0,0,0,0,0,0.0
404,P8,16,1,0,6891,20601,0,0,0,0,0,0,0,0.0
405,P8,17,1,0,6891,20639,0,0,0,0,0,0,0,0.0
406,P8,18,1,0,6891,20672,0,0,0,0,0,0,0,0.0
407,P9,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
408,P9,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
409,P9,2,1,1,6922,19924,0,0,0,0,0,0,0,0.0
410,P9,3,1,1,6922,20113,0,0,0,0,0,0,0,0.0
411,P9,4,1,1,6922,20468,0,0,0,0,0,0,0,0.0
412,P9,5,1,1,6922,20468,0,0,0,0,0,0,0,0.0
413,P9,6,1,1,6922,20468,0,0,0,0,0,0,0,0.0
414,P9,7,1,1,6922,20502,0,0,0,0,0,0,0,0.0
415,P9,8,1,0,6922,20690,0,0,0,0,0,0,0,0.0
416,P9,10,1,1,6922,20858,0,0,0,0,0,0,0,0.0
417,P9,11,1,1,6922,20998,0,0,0,0,0,0,0,0.0
418,P9,12,1,1,6922,21107,0,0,0,0,0,0,0,0.0
419,P9,13,1,1,6922,21379,0,0,0,0,0,0,0,0.0
420,P9,14,1,1,6922,21378,3,0,0,0,0,0,0,3.0
421,P9,15,1,1,6922,21388,3,0,0,0,0,0,0,3.0
