,participant,snapshot,bustersAgents.py_compiles,inference.py_compiles,bustersAgents.py_length,inference.py_length,q1_points,q5_points,q6_points,q4_points,q2_points,q7_points,q3_points,total_points
187,P29,4,1,1,6891,19913,0,0,0,0,0,0,0,0.0
188,P29,5,1,1,6891,19913,0,0,0,0,0,0,0,0.0
189,P29,6,1,1,6891,19913,0,0,0,0,0,0,0,0.0
190,P29,7,1,0,6890,19985,0,0,0,0,0,0,0,0.0
191,P29,8,1,0,6890,20136,0,0,0,0,0,0,0,0.0
192,P29,9,1,0,6890,20175,0,0,0,0,0,0,0,0.0
193,P29,10,1,0,6890,20175,0,0,0,0,0,0,0,0.0
194,P29,11,1,0,6890,20184,0,0,0,0,0,0,0,0.0
195,P29,12,1,0,6890,20368,0,0,0,0,0,0,0,0.0
196,P29,13,1,0,6890,20369,0,0,0,0,0,0,0,0.0
197,P29,14,1,0,6890,20559,0,0,0,0,0,0,0,0.0
198,P29,15,1,0,6890,20599,0,0,0,0,0,0,0,0.0
199,P29,16,1,0,6890,20630,0,0,0,0,0,0,0,0.0
200,P29,17,1,0,6890,20703,0,0,0,0,0,0,0,0.0
201,P29,18,1,0,6890,20886,0,0,0,0,0,0,0,0.0
202,P29,19,1,0,6890,20861,0,0,0,0,0,0,0,0.0
203,P29,20,1,0,6890,20909,0,0,0,0,0,0,0,0.0
204,P29,21,1,0,6890,20909,0,0,0,0,0,0,0,0.0
205,P29,22,1,0,6890,20971,0,0,0,0,0,0,0,0.0
206,P29,23,1,0,6890,21200,0,0,0,0,0,0,0,0.0
207,P29,24,1,0,6890,21170,0,0,0,0,0,0,0,0.0
208,P29,25,1,0,6890,21185,0,0,0,0,0,0,0,0.0
209,P29,26,1,0,6890,21234,0,0,0,0,0,0,0,0.0
210,P29,27,1,0,6890,21354,0,0,0,0,0,0,0,0.0
211,P3,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
212,P3,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
213,P3,2,1,1,6899,19935,0,0,0,0,0,0,0,0.0
214,P3,3,1,1,6899,20167,0,0,0,0,0,0,0,0.0
215,P3,4,1,0,6899,20373,0,0,0,0,0,0,0,0.0
216,P3,5,1,1,6899,20479,0,0,0,0,0,0,0,0.0
217,P3,6,1,1,6899,20415,0,0,0,0,0,0,0,0.0
218,P3,7,1,1,6899,20483,0,0,0,0,0,0,0,0.0
219,P3,8,1,1,6899,20552,0,0,0,0,0,0,0,0.0
220,P3,9,1,1,6899,20640,0,0,0,0,0,0,0,0.0
221,P3,10,1,0,6899,20659,0,0,0,0,0,0,0,0.0
222,P3,11,1,0,6899,20688,0,0,0,0,0,0,0,0.0
223,P3,12,1,1,6899,20874,0,0,0,0,0,0,0,0.0
224,P3,13,1,1,6899,20874,0,0,0,0,0,0,0,0.0
225,P3,14,1,1,6908,20883,0,0,0,0,0,0,0,0.0
226,P30,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
227,P30,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
228,P30,2,1,1,6891,19913,0,0,0,0,0,0,0,0.0
229,P30,3,1,1,6891,20068,0,0,0,0,0,0,0,0.0
230,P30,4,1,1,6891,20251,0,0,0,0,0,0,0,0.0
231,P30,5,1,0,6891,20328,0,0,0,0,0,0,0,0.0
232,P30,6,1,0,6891,20367,0,0,0,0,0,0,0,0.0
233,P30,7,1,0,6891,20374,0,0,0,0,0,0,0,0.0
234,P30,8,1,0,6891,20433,0,0,0,0,0,0,0,0.0
235,P30,9,1,1,6891,20130,3,0,0,0,0,0,0,3.0
236,P30,10,1,1,6891,20102,3,0,0,0,0,0,0,3.0
237,P30,11,1,1,6891,20102,3,0,0,0,0,0,0,3.0
238,P30,12,1,1,6891,20110,3,0,0,0,0,0,0,3.0
239,P30,13,1,0,6891,20132,0,0,0,0,0,0,0,3.0
240,P30,14,1,1,6891,20194,3,0,0,0,0,0,0,3.0
241,P30,15,1,1,6891,20262,3,0,0,0,0,0,0,3.0
242,P30,16,1,1,6891,20370,3,0,0,0,0,0,0,3.0
243,P30,17,1,1,6891,20439,3,0,0,0,0,0,0,3.0
244,P30,18,1,1,6891,20427,3,0,0,0,0,0,0,3.0
245,P30,19,1,1,6891,20125,3,0,0,0,0,0,0,3.0
246,P30,20,1,1,6891,20444,3,0,0,0,0,0,0,3.0
247,P34,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
248,P34,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
249,P34,2,1,1,6891,19945,0,0,0,0,0,0,0,0.0
250,P34,3,1,1,6891,19983,0,0,0,0,0,0,0,0.0
251,P34,4,1,0,6891,20099,0,0,0,0,0,0,0,0.0
252,P34,5,1,1,6891,20332,0,0,0,0,0,0,0,0.0
253,P34,6,1,1,6891,20394,0,0,0,0,0,0,0,0.0
254,P34,7,1,1,6891,20369,3,0,0,0,0,0,0,3.0
255,P34,8,1,1,6891,20415,3,0,0,0,0,0,0,3.0
256,P34,9,1,0,6891,20563,0,0,0,0,0,0,0,3.0
257,P34,10,1,1,6891,20458,3,0,0,0,0,0,0,3.0
258,P34,11,1,1,6891,20474,3,0,0,0,0,0,0,3.0
259,P42,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
260,P42,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
261,P42,2,1,1,6891,19913,0,0,0,0,0,0,0,0.0
262,P42,3,1,1,6891,20187,0,0,0,0,0,0,0,0.0
263,P42,4,1,0,6891,20259,0,0,0,0,0,0,0,0.0
264,P42,5,1,0,6891,20289,0,0,0,0,0,0,0,0.0
265,P42,6,1,0,6891,20289,0,0,0,0,0,0,0,0.0
266,P42,7,1,0,6891,20468,0,0,0,0,0,0,0,0.0
267,P42,8,1,1,6891,20493,0,0,0,0,0,0,0,0.0
268,P42,9,1,1,6891,20493,0,0,0,0,0,0,0,0.0
269,P42,10,1,0,6891,20272,0,0,0,0,0,0,0,0.0
270,P42,11,1,1,6891,20335,0,0,0,0,0,0,0,0.0
271,P42,12,1,1,6891,20378,0,0,0,0,0,0,0,0.0
272,P42,13,1,1,6891,20425,0,0,0,0,0,0,0,0.0
273,P42,14,1,1,6891,20485,0,0,0,0,0,0,0,0.0
274,P42,15,1,1,6891,20527,0,0,0,0,0,0,0,0.0
275,P42,16,1,1,6891,20529,0,0,0,0,0,0,0,0.0
276,P42,17,1,1,6891,20525,0,0,0,0,0,0,0,0.0
277,P42,18,1,1,6891,20590,0,0,0,0,0,0,0,0.0
278,P42,19,1,1,6891,20590,0,0,0,0,0,0,0,0.0
279,P42,20,1,0,6891,20514,0,0,0,0,0,0,0,0.0
280,P42,21,1,0,6891,20537,0,0,0,0,0,0,0,0.0
281,P43,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
282,P43,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
283,P43,2,1,1,6891,19922,0,0,0,0,0,0,0,0.0
284,P43,3,1,1,6891,19988,0,0,0,0,0,0,0,0.0
285,P43,4,1,1,6891,19988,0,0,0,0,0,0,0,0.0
286,P43,5,1,1,6891,20092,0,0,0,0,0,0,0,0.0
287,P43,6,1,0,6891,20110,0,0,0,0,0,0,0,0.0
288,P43,7,1,0,6891,20162,0,0,0,0,0,0,0,0.0
289,P43,8,1,0,6891,20261,0,0,0,0,0,0,0,0.0
290,P43,9,1,0,6891,20387,0,0,0,0,0,0,0,0.0
291,P43,10,1,0,6891,20425,0,0,0,0,0,0,0,0.0
292,P43,11,1,0,6891,20425,0,0,0,0,0,0,0,0.0
293,P43,12,1,0,6891,20449,0,0,0,0,0,0,0,0.0
294,P43,13,1,0,6891,20449,0,0,0,0,0,0,0,0.0
295,P43,14,1,0,6891,20451,0,0,0,0,0,0,0,0.0
296,P43,15,1,0,6891,20459,0,0,0,0,0,0,0,0.0
297,P43,16,1,0,6891,20576,0,0,0,0,0,0,0,0.0
298,P43,17,1,0,6891,20576,0,0,0,0,0,0,0,0.0
299,P43,18,1,0,6891,20704,0,0,0,0,0,0,0,0.0
300,P43,19,1,0,6891,20769,0,0,0,0,0,0,0,0.0
301,P43,20,1,0,6891,20839,0,0,0,0,0,0,0,0.0
302,P43,21,1,0,6891,20868,0,0,0,0,0,0,0,0.0
303,P43,22,1,0,6891,20810,0,0,0,0,0,0,0,0.0
304,P43,23,1,0,6891,20815,0,0,0,0,0,0,0,0.0
305,P43,24,1,0,6891,20823,0,0,0,0,0,0,0,0.0
306,P47,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
307,P47,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
308,P47,2,1,1,6900,19921,0,0,0,0,0,0,0,0.0
309,P47,3,1,1,6900,20017,0,0,0,0,0,0,0,0.0
310,P47,4,1,0,6900,20121,0,0,0,0,0,0,0,0.0
311,P47,5,1,0,6900,20144,0,0,0,0,0,0,0,0.0
312,P47,6,1,1,6900,20214,0,0,0,0,0,0,0,0.0
313,P47,7,1,1,6900,20282,0,0,0,0,0,0,0,0.0
314,P47,8,1,1,6900,20272,3,0,0,0,0,0,0,3.0
315,P47,9,1,1,6900,20389,3,0,0,0,0,0,0,3.0
316,P47,10,1,0,6900,20448,0,0,0,0,0,0,0,3.0
317,P47,11,1,0,6900,20630,0,0,0,0,0,0,0,3.0
318,P47,12,1,0,6900,20630,0,0,0,0,0,0,0,3.0
319,P47,13,1,0,6900,20661,0,0,0,0,0,0,0,3.0
320,P47,14,1,0,6900,20661,0,0,0,0,0,0,0,3.0
321,P47,15,1,0,6900,20659,0,0,0,0,0,0,0,3.0
322,P47,16,1,0,6900,20843,0,0,0,0,0,0,0,3.0
323,P47,17,1,0,6900,20844,0,0,0,0,0,0,0,3.0
324,P47,18,1,0,6900,20844,0,0,0,0,0,0,0,3.0
325,P47,19,1,0,6900,20844,0,0,0,0,0,0,0,3.0
326,P47,20,1,0,6900,20844,0,0,0,0,0,0,0,3.0
327,P47,21,1,0,6900,20844,0,0,0,0,0,0,0,3.0
328,P47,22,1,0,6900,20884,0,0,0,0,0,0,0,3.0
329,P47,23,1,0,6900,21071,0,0,0,0,0,0,0,3.0
330,P47,24,1,0,6900,21102,0,0,0,0,0,0,0,3.0
331,P47,25,1,0,6900,21102,0,0,0,0,0,0,0,3.0
332,P47,26,1,0,6900,21155,0,0,0,0,0,0,0,3.0
333,P47,27,1,0,6900,21167,0,0,0,0,0,0,0,3.0
334,P5,0,1,1,6891,19913,0,0,0,0,0,0,0,0.0
335,P5,1,1,1,6891,19913,0,0,0,0,0,0,0,0.0
336,P5,2,1,1,6891,19913,0,0,0,0,0,0,0,0.0
337,P5,3,1,1,6891,19913,0,0,0,0,0,0,0,0.0
338,P5,4,1,1,6891,19913,0,0,0,0,0,0,0,0.0
339,P5,5,1,1,6891,19913,0,0,0,0,0,0,0,0.0
340,P5,6,1,1,6891,19913,0,0,0,0,0,0,0,0.0
341,P5,7,1,1,6891,19913,0,0,0,0,0,0,0,0.0
342,P5,8,1,1,6891,20457,0,0,0,0,0,0,0,0.0
343,P5,9,1,1,6891,20633,0,0,0,0,0,0,0,0.0
344,P5,10,1,1,6891,20924,0,0,0,0,0,0,0,0.0
345,P5,11,1,0,6891,21500,0,0,0,0,0,0,0,0.0
346,P5,12,1,0,6891,21700,0,0,0,0,0,0,0,0.0
347,P5,13,1,0,6891,21932,0,0,0,0,0,0,0,0.0
348,P5,14,1,0,6891,22068,0,0,0,0,0,0,0,0.0
349,P5,15,1,0,6891,22142,0,0,0,0,0,0,0,0.0
350,P5,16,1,0,6891,22220,0,0,0,0,0,0,0,0.0
351,P5,17,1,0,6891,22401,0,0,0,0,0,0,0,0.0
352,P5,18,1,0,6891,22695,0,0,0,0,0,0,0,0.0
353,P5,19,1,0,6891,23198,0,0,0,0,0,0,0,0.0
354,P5,20,1,0,6891,23439,0,0,0,0,0,0,0,0.0
355,P5,21,1,0,6891,23448,0,0,0,0,0,0,0,0.0
356,P5,22,1,0,6891,23465,0,0,0,0,0,0,0,0.0
357,P5,23,1,0,6891,23627,0,0,0,0,0,0,0,0.0
358,P5,24,1,0,6891,23641,0,0,0,0,0,0,0,0.0
359,P5,25,1,0,6899,23999,0,0,0,0,0,0,0,0.0
360,P5,26,1,0,7210,23999,0,0,0,0,0,0,0,0.0
361,P5,27,0,0,7333,23999,0,0,0,0,0,0,0,0.0
362,P5,28,1,0,7898,23999,0,0,0,0,0,0,0,0.0
363,P5,29,1,0,8185,23999,0,0,0,0,0,0,0,0.0
364,P5,30,1,0,8406,23999,0,0,0,0,0,0,0,0.0
365,P5,31,1,0,8417,23999,0,0,0,0,0,0,0,0.0
366,P5,32,1,0,8417,24172,0,0,0,0,0,0,0,0.0
367,P5,33,1,0,8417,24172,0,0,0,0,0,0,0,0.0
368,P5,34,1,0,8417,24228,0,0,0,0,0,0,0,0.0
